Model / Part,Cores,Threads,Freq.,Turbo freq.,L2 cache,TDP (Watt),Socket,Category,FSB (MHz),L3 cache,L1 cache,launchDate,numCores,numThreads,baseClock,maxboostClock,allCoreBoostSpeed,L1Cache,L2Cache,L3Cache,processTech,PCIeVersion,PCIeLanes,defaultTDP,configTDP,tjMax,sysMemType,sysMemSpecs,memChannels,perSocketMemBW,graphicsCores,graphicsFreq,unlocked,platform,cpuSocket,socketCount,family,line,graphicsModel,thermalSolution
A4 PRO-7300B,2,2,3.8 GHz,4 GHz,1MB,65.0,Socket FM2,A4-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4 PRO-7350B,2,2,3.4 GHz,3.8 GHz,1MB,65.0,Socket FM2+,A4-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4-3300,2,2,2.5 GHz,,1MB,65.0,Socket FM1,A4-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4-3300,2,2,2.5 GHz,,1MB,65.0,Socket FM1,A4-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4-3400,2,2,2.7 GHz,,1MB,65.0,Socket FM1,A4-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4-3400,2,2,2.7 GHz,,1MB,65.0,Socket FM1,A4-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4-3420,2,2,2.8 GHz,,1MB,65.0,Socket FM1,A4-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4-3450,2,2,2.9 GHz,,1MB,65.0,Socket FM1,A4-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4-4000,2,2,3 GHz,3.2 GHz,1MB,65.0,Socket FM2,A4-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4-4020,2,2,3.2 GHz,3.4 GHz,1MB,65.0,Socket FM2,A4-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4-5300,2,2,3.4 GHz,3.6 GHz,1MB,65.0,Socket FM2,A4-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4-5300B,2,2,3.4 GHz,3.6 GHz,1MB,65.0,Socket FM2,A4-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4-6300,2,2,3.7 GHz,3.9 GHz,1MB,65.0,Socket FM2,A4-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4-6300B,2,2,3.7 GHz,3.9 GHz,1MB,65.0,Socket FM2,A4-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4-6320,2,2,3.8 GHz,4 GHz,1MB,65.0,Socket FM2,A4-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4-6320B,2,2,3.8 GHz,4 GHz,1MB,65.0,Socket FM2,A4-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4-7300,2,2,3.8 GHz,4 GHz,1MB,65.0,Socket FM2,A4-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO A4-8350B,2,2,3.5 GHz,3.9 GHz,1MB,65.0,Socket FM2+,A4-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4 Pro-3350B,4,4,2 GHz,2.4 GHz,2MB,15.0,BGA769 (FT3b),A4-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4-3300M,2,2,1.9 GHz,2.5 GHz,2MB,35.0,Socket FS1,A4-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4-3305M,2,2,1.9 GHz,2.5 GHz,1MB,35.0,Socket FS1,A4-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4-3310MX,2,2,2.1 GHz,2.5 GHz,2MB,45.0,Socket FS1,A4-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4-3320M,2,2,2 GHz,2.6 GHz,2MB,35.0,Socket FS1,A4-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4-3330MX,2,2,2.2 GHz,2.6 GHz,2MB,45.0,Socket FS1,A4-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4-3330MX,2,2,2.3 GHz,2.6 GHz,1MB,45.0,Socket FS1,A4-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4-4300M,2,2,2.5 GHz,3 GHz,1MB,35.0,Socket FS1 (FS1r2),A4-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4-4355M,2,2,1.9 GHz,2.4 GHz,1MB,17.0,BGA827 (FP2),A4-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4-5000,4,4,1.5 GHz,,2MB,15.0,BGA769 (FT3),A4-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4-5050,4,4,1.55 GHz,,2MB,13.5,BGA769 (FT3),A4-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4-5100,4,4,1.55 GHz,,2MB,15.0,BGA769 (FT3),A4-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4-5145M,2,2,2 GHz,2.6 GHz,1MB,17.0,BGA827 (FP2),A4-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4-5150M,2,2,2.7 GHz,3.3 GHz,1MB,35.0,Socket FS1 (FS1r2),A4-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4-6210,4,4,1.8 GHz,,2MB,15.0,BGA769 (FT3b),A4-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4-6250,4,4,2 GHz,,2MB,25.0,BGA769 (FT3b),A4-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4-7210,4,4,1.8 GHz,2.2 GHz,2MB,15.0,BGA769 (FT3b),A4-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4-7210,4,4,1.8 GHz,2.2 GHz,2MB,15.0,BGA (FP4),A4-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4-9120,2,2,2.2 GHz,2.5 GHz,1MB,15.0,BGA (FT4),A4-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4-9120C,2,2,1.6 GHz,2.4 GHz,1MB,6.0,BGA (FT4),A4-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4-9120e,2,2,1.5 GHz,2.2 GHz,1MB,,BGA (FT4),A4-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4-9125,2,2,2.3 GHz,2.6 GHz,1MB,15.0,BGA (FT4),A4-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4-PRO 3340B,4,4,2.2 GHz,,2MB,25.0,BGA769 (FT3),A4-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRO A4-4350B,2,2,2.5 GHz,2.9 GHz,1MB,15.0,BGA (FT4),A4-Series for Notebooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6 PRO-7400B,2,2,3.5 GHz,3.9 GHz,1MB,65.0,Socket FM2+,A6-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6-3500,3,3,2.1 GHz,2.4 GHz,3MB,65.0,Socket FM1,A6-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6-3600,4,4,2.1 GHz,2.4 GHz,4MB,65.0,Socket FM1,A6-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6-3620,4,4,2.2 GHz,2.5 GHz,4MB,65.0,Socket FM1,A6-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6-3650,4,4,2.6 GHz,,4MB,100.0,Socket FM1,A6-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6-3670K,4,4,2.7 GHz,,4MB,100.0,Socket FM1,A6-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6-5400B,2,2,3.6 GHz,3.8 GHz,1MB,65.0,Socket FM2,A6-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6-5400K,2,2,3.6 GHz,3.8 GHz,1MB,65.0,Socket FM2,A6-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6-6400B,2,2,3.9 GHz,4.1 GHz,1MB,65.0,Socket FM2,A6-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6-6400K,2,2,3.9 GHz,4.1 GHz,1MB,65.0,Socket FM2,A6-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6-6420B,2,2,4 GHz,4.2 GHz,1MB,65.0,Socket FM2,A6-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6-6420K,2,2,4 GHz,4.2 GHz,1MB,65.0,Socket FM2,A6-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6-7400K,2,2,3.5 GHz,3.9 GHz,1MB,65.0,Socket FM2+,A6-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6-7470K,2,2,3.7 GHz,4 GHz,1MB,65.0,Socket FM2+,A6-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6-8550,2,2,3.7 GHz,4 GHz,1MB,65.0,Socket FM2+,A6-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6-9230,2,2,2.6 GHz,2.8 GHz,1MB,25.0,BGA (FT4),A6-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6-9500,2,2,3.5 GHz,3.8 GHz,1MB,65.0,Socket AM4,A6-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6-9500E,2,2,3 GHz,3.4 GHz,1MB,35.0,Socket AM4,A6-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6-9550,2,2,3.8 GHz,4 GHz,1MB,65.0,Socket AM4,A6-Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
