Model / Part,Cores,Threads,Freq.,Turbo freq.,FSB (MHz),L2 cache,TDP (Watt),Socket,Category,L3 cache,L1 cache,releaseDate,cores,threads,maxTurboClock,baseClock,cache,cacheInfo,TDP,lith,status,integratedG
Atom 230,1,2,1.6 GHz,,533.0,512KB,4.0,BGA437,Atom,,,2008.0,1.0,,,1.6,0.5,L2 Cache,,,Discontinued,
Atom 330,2,4,1.6 GHz,,533.0,1MB,8.0,BGA437,Atom,,,2008.0,2.0,,,1.6,1.0,L2 Cache,,,Discontinued,
Atom C2308,2,2,1.25 GHz,,,1MB,6.0,BGA1283,Atom,,,2014.0,2.0,,,1.25,1.0,,,,Launched,
Atom C2316,2,2,1.5 GHz,,,1MB,7.0,BGA1283,Atom,,,2017.0,2.0,,,1.5,1.0,,,,Launched,
Atom C2338,2,2,1.7 GHz,2 GHz,,1MB,7.0,BGA1283,Atom,,,2013.0,2.0,,2.0,1.7,1.0,,,,Launched,
Atom C2350,2,2,1.7 GHz,2 GHz,,1MB,6.0,BGA1283,Atom,,,2013.0,2.0,,2.0,1.7,1.0,,,,Launched,
Atom C2358,2,2,1.7 GHz,2 GHz,,1MB,7.0,BGA1283,Atom,,,2013.0,2.0,,2.0,1.7,1.0,,,,Launched,
Atom C2508,4,4,1.25 GHz,,,2MB,9.5,BGA1283,Atom,,,2014.0,4.0,,,1.25,2.0,,,,Launched,
Atom C2516,4,4,1.4 GHz,,,2MB,10.0,BGA1283,Atom,,,2017.0,4.0,,,1.4,2.0,,,,Launched,
Atom C2518,4,4,1.7 GHz,,,2MB,13.0,BGA1283,Atom,,,2013.0,4.0,,,1.7,2.0,,,,Launched,
Atom C2530,4,4,1.7 GHz,2.4 GHz,,2MB,9.0,BGA1283,Atom,,,2013.0,4.0,,2.4,1.7,2.0,,,,Launched,
Atom C2538,4,4,2.4 GHz,,,2MB,15.0,BGA1283,Atom,,,2013.0,4.0,,,2.4,2.0,,,,Launched,
Atom C2550,4,4,2.4 GHz,2.6 GHz,,2MB,14.0,BGA1283,Atom,,,2013.0,4.0,,2.6,2.4,2.0,,,,Launched,
Atom C2558,4,4,2.4 GHz,,,2MB,15.0,BGA1283,Atom,,,2013.0,4.0,,,2.4,2.0,,,,Launched,
Atom C2718,8,8,2 GHz,,,4MB,18.0,BGA1283,Atom,,,2013.0,8.0,,,2.0,4.0,,,,Launched,
Atom C2730,8,8,1.7 GHz,2.4 GHz,,4MB,12.0,BGA1283,Atom,,,2013.0,8.0,,2.4,1.7,4.0,,,,Launched,
Atom C2738,8,8,2.4 GHz,,,4MB,20.0,BGA1283,Atom,,,2013.0,8.0,,,2.4,4.0,,,,Launched,
Atom C2750,8,8,2.4 GHz,2.6 GHz,,4MB,20.0,BGA1283,Atom,,,2013.0,8.0,,2.6,2.4,4.0,,,,Launched,
Atom C2758,8,8,2.4 GHz,,,4MB,20.0,BGA1283,Atom,,,2013.0,8.0,,,2.4,4.0,,,,Launched,
Atom C3308,2,2,1.6 GHz,2.1 GHz,,4MB,9.5,BGA1310,Atom,,,2017.0,2.0,,2.1,1.6,4.0,,,,Launched,
Atom C3336,2,2,1.5 GHz,,,4MB,11.0,BGA1310,Atom,,,2018.0,2.0,,,1.5,4.0,,,,Launched,
Atom C3338,2,2,1.5 GHz,2.2 GHz,,4MB,9.0,BGA1310,Atom,,,2017.0,2.0,,2.2,1.5,4.0,,,,Launched,
